p,d,prob_success,num_samples
0.0,7,100.0,1000
0.005,7,100.0,1000
0.0060546875,7,99.8,1000
0.00640625,7,99.7,1000
0.006875,7,96.6,1000
0.0075,7,45.0,1000
0.01,7,0.0,1000
0.02,7,0.0,1000
0.0057910156,7,100.0,1000
